岗位名称,分类,薪资,公司地址,工作经验,学历要求,公司名称,岗位描述
大数据开发工程师,制药/生物工程,12-24万,南京,2年,大专,上海优宁维生物科技股份有限公司,"五险一金,员工旅游,交通补贴,年终奖金,专业培训,餐饮补贴,定期体检"
大数据开发工程师,计算机软件,13-19.5万,宁波,2年,大专,宁波思艾特软件有限公司,"五险一金,交通补贴,出国机会,专业培训,通讯补贴,餐饮补贴,弹性工作"
大数据开发,互联网/电子商务,7.2-14.4万,青岛,无需经验,本科,青岛黑臻科技信息有限公司,"hadoop,java,数据库,hive,数据分析,sql,spark,python"
大数据开发工程师-数据湖方向,互联网/电子商务,24-48万,北京,3-4年,本科,字节跳动,"弹性工作,六险一金,带薪休假,免费三餐,扁平管理,下午茶,租房补贴"
大数据分析师,通信/电信运营、增值服务,6-12万,广州,1年,大专,宜通世纪科技股份有限公司,"sql,python,五险一金,专业培训,通讯补贴,餐饮补贴,绩效奖金,年终奖金"
大数据分析,计算机软件,8.4-14.4万,沈阳,2年,本科,光谷动力（北京）科技有限公司,"计算机,经济,测试方案,五险一金,通讯补贴,绩效奖金,餐饮补贴,交通补贴"
大数据算法工程师,计算机软件,18-24万,南昌,5-7年,本科,南昌协达科技发展有限公司,"数据分析模型,数据模型,java,数据挖掘,hadoop,spark,绩效奖金"
大数据开发工程师-移互创新部,计算机软件,12-18万,上海,3-4年,本科,中数通信息有限公司,"数据仓库,数据挖掘,数据平台,数据可视化,数据处理,大数据开发,周末双休"
大数据分析,计算机软件,9.6-14.4万,北京,2年,大专,光谷动力（北京）科技有限公司,"计算机,经济,it,五险一金,通讯补贴,绩效奖金,餐饮补贴,交通补贴"
大数据算法分析,汽车,216-360万,武汉,3-4年,本科,东风悦享科技有限公司,"车联网,数据分析,五险一金,补充医疗保险,交通补贴,餐饮补贴,绩效奖金"
大数据研发专家,互联网/电子商务,36-72万,北京,无需经验,本科,字节跳动,"五险一金,下午茶,租房补贴,免费三餐,弹性工作"
大数据开发工程师,通信/电信/网络设备,18-30万,北京,3-4年,硕士,北京三星通信技术研究有限公司,"五险一金,补充医疗保险,餐饮补贴,年终奖金,弹性工作,定期体检,专业培训"
大数据开发工程师,计算机服务(系统、数据服务、维修),78-14.4万,石家庄,无需经验,大专,河北蓝潮信息技术有限公司,"数据仓库,shell,python,scala,大数据平台,数据挖掘,大数据开发"
大数据架构师,计算机服务(系统、数据服务、维修),24-36万,上海,5-7年,本科,上海神州数码有限公司,"架构设计,技术方案,数据可视化,大数据平台,数据建模,数据采集,大数据"
大数据分析师,互联网/电子商务,13.2-24万,海口,5-7年,本科,数字海南有限公司,"五险一金,餐饮补贴,绩效奖金,年终奖金,弹性工作"
大数据算法工程师,计算机软件,24-30万,南京,3-4年,硕士,南京视察者智能科技有限公司,"大数据,C++,算法,五险一金,员工旅游,餐饮补贴,专业培训,定期体检"
大数据开发工程师,房地产,120-180万,武汉,3-4年,本科,武汉金融街投资控股集团有限公司（原江汉区房地产公司）,"周末双休,带薪年假,包吃,加班补贴,五险一金,绩效奖金,定期体检"
大数据分析师,计算机软件,8.4-16.8万,武汉,1年,本科,武汉市禾亭亿电子商务有限公司,"excel,计算机,数据分析,报表,建模,sql,数据治理,大数据平台"
大数据分析,计算机服务(系统、数据服务、维修),15.6-20.4万,北京,3-4年,本科,振宁（无锡）智能科技有限公司,"数据分析,大数据,spss,tableau,数据敏感,清洗,电力设备,python"
大数据Hadoop开发工程师,计算机服务(系统、数据服务、维修),15.6-21.6万,广州,5-7年,本科,广州华景政通信息技术有限公司,"五险一金,弹性工作,定期体检,专业培训,节日福利,周末双休"
大数据分析,计算机软件,7.8-15.6万,青岛,无需经验,大专,青岛诺宸尚迅信息技术有限公司,"计算机,软件开发,物联网,呈现数据,大数据行业,数据搜集,行业研究"
大数据平台工程师,建筑/建材/工程,18-30万,北京,5-7年,本科,中国恩菲工程技术有限公司,"大数据平台,五险一金,补充医疗保险,出国机会,通讯补贴,餐饮补贴,交通补贴"
高级大数据开发工程师,计算机软件,24-42万,成都,8-9年,本科,成都卡莱博尔信息技术股份有限公司,"五险一金,弹性工作,绩效奖金"
研发工程师-大数据,通信/电信运营、增值服务,30-36万,北京,1年,本科,北京中创信测科技股份有限公司,"五险一金,补充医疗保险,餐饮补贴,年终奖金,定期体检,周末双休,节日福利"
大数据分析,计算机软件,7.8-15.6万,青岛,无需经验,大专,青岛诺宸尚迅信息技术有限公司,"计算机,行业研究,统计学,数据搜集,软件开发,数学,大数据行业,呈现数据"
大数据开发工程师-内容生态与体验,互联网/电子商务,36-60万,北京,无需经验,本科,字节跳动,"下午茶,健身瑜伽,六险一金,五险一金,股票期权,团队氛围好,晋升空间大"
大数据分析师,计算机软件,7.8-13万,沈阳,1年,本科,辽宁卓信普惠征信服务有限公司,"征信,数据库,数据分析,金融,数字科技,信贷,五险一金,通讯补贴"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据开发,互联网/电子商务,11.7-18.2万,成都,3-4年,大专,四川文轩在线电子商务有限公司,"计算机,java,bi,flink,Hadoop,五险一金,通讯补贴,餐饮补贴"
大数据开发工程师.非晓,互联网/电子商务,14.4-26.4万,重庆,无需经验,本科,重庆维普资讯有限公司,"五险一金,交通补贴,通讯补贴,专业培训,绩效奖金,年终奖金,定期体检"
大数据分析师,计算机软件,7.8-13万,大连,1年,本科,辽宁卓信普惠征信服务有限公司,"征信,数据库,数据分析,金融,数字科技,信贷,五险一金,通讯补贴"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据开发工程师,机械/设备/重工,12-20.4万,广州,3-4年,大专,广州标际包装设备有限公司,"周末双休,带薪年假,五险一金,全勤奖,交通补贴,餐饮补贴,通讯补贴"
大数据开发工程师,计算机软件,8.4-15.6万,襄阳,3-4年,本科,湖北宽云网络科技有限公司,"hadoop,大数据开发,数据挖掘,开发,spark,五险一金,员工旅游"
大数据架构师,计算机软件,24-36万,深圳,8-9年,本科,归一互生集团有限公司,"计算机,hadoop,hive,etl,hbase,机器学习,数据挖掘,系统架构设计"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据开发工程师,计算机软件,20.8-41.6万,深圳,3-4年,本科,北京鼎腾科技有限公司,"大数据,数据开发,数据治理,数据挖掘,数据仓库,数据架构,数据处理"
大数据开发工程师,建筑/建材/工程,39-52万,深圳,5-7年,本科,朗奥科技,"大数据,linux,数据仓库,数据挖掘,hadoop,大数据平台,五险一金"
大数据开发工程师,电子技术/半导体/集成电路,264-420万,杭州,2年,本科,杭州广立微电子股份有限公司,"大数据,大数据开发,开发,五险一金,员工旅游,餐饮补贴,通讯补贴"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据开发工程师,计算机软件,19.2-38.4万,西安,3-4年,本科,北京鼎腾科技有限公司,"大数据,数据开发,数据治理,数据挖掘,数据仓库,数据架构,数据处理"
大数据开发工程师,计算机软件,15.6-20.8万,宜昌,3-4年,本科,广州健新科技有限责任公司,"大数据,数据仓库,spark,java,数据报表,sql,数据结构,设计模式"
大数据开发工程师,计算机软件,18-24万,上海,3-4年,本科,上海沣海智能科技有限公司,"数据开发,软件,开发,python,java,shell"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据开发工程师,计算机软件,19.2-38.4万,武汉,3-4年,本科,北京鼎腾科技有限公司,"大数据,数据开发,数据治理,数据挖掘,数据仓库,数据架构,数据处理"
大数据开发岗(009160),银行,24-48万,深圳,3-4年,本科,中信银行信用卡中心,"五险一金,补充医疗保险,员工旅游,餐饮补贴,通讯补贴,年终奖金,绩效奖金"
大数据开发工程师,计算机软件,18-24万,上海,2年,本科,上海沣海智能科技有限公司,"数据开发,软件,开发,python,java,shell"
大数据开发工程师,计算机软件,9.6-18万,北京,1年,大专,点奇互联（北京）科技有限公司,"java,数据库,spring,mybatis,dubbo,linux,微服务,redis,五险一金"
大数据开发工程师,计算机服务(系统、数据服务、维修),26-39万,上海,3-4年,本科,元初数智科技发展集团有限公司,"大数据,hive,数据仓库,做五休二,周末双休,高温补贴,五险一金"
